CustomerID,Name,Age,Email,Phone,PurchaseAmount,PurchaseDate,ProductCategory,Rating,PurachaseAmount
CUST1000,Ali Hassan,72,ali.hassan@gmail.com,123456789.0,837.31,2023-10-12 00:00:00,Books,3.0,837.31
CUST1001,Fatma Ali,55,fatma.ali@hotmail.com,000-000-0000,900.25,2023-02-23 00:00:00,unknown,3.0,900.25
CUST1002,Ahmed Mahmoud,55,ahmed.mahmoud@hotmail.com,000-000-0000,761.72,2023-07-07 00:00:00,Toys,2.0,761.72
CUST1003,Ahmed Gaber,55,ahmed.gaber@gmail.com,000-000-0000,303.72,2023-12-30 00:00:00,unknown,2.0,303.72
CUST1004,Ali Ibrahim,73,ali.ibrahim@yahoo.com,987654321.0,635.81,2023-12-07 00:00:00,Clothing,2.0,635.81
CUST1005,Alaa Ibrahim,55,alaa.ibrahim@hotmail.com,987654321.0,886.26,2025-01-16 00:00:00,unknown,2.0,886.26
CUST1006,Mark Ali,55,mark.ali@hotmail.com,000-000-0000,92.53,2024-06-12 00:00:00,Books,2.0,92.53
CUST1007,Alaa Hassan,55,alaa.hassan@hotmail.com,987654321.0,318.43,2024-05-17 00:00:00,Toys,10.0,318.43
CUST1008,John Hassan,89,john.hassan@yahoo.com,000-000-0000,883.52,Not Avilable,Home,4.0,883.52
CUST1009,Fatma Gaber,55,fatma.gaber@hotmail.com,000-000-0000,966.47,2025-01-24 00:00:00,Electronics,2.0,966.47
CUST1010,Ahmed Smith,55,ahmed.smith@gmail.com,987654321.0,882.19,2025-06-24 00:00:00,unknown,3.0,882.19
CUST1011,Sara Smith,55,sara.smith@yahoo.com,000-000-0000,405.79,2024-08-05 00:00:00,unknown,10.0,405.79
CUST1012,Lina Ibrahim,55,lina.ibrahim@hotmail.com,000-000-0000,142.6,2023-05-23 00:00:00,Home,2.0,142.6
CUST1013,Lina Gaber,55,lina.gaber@gmail.com,000-000-0000,509.8973789316026,2024-02-04 00:00:00,Electronics,2.0,519.42
