,CustomerID,Name,Age,Email,Phone,PurchaseAmount,PurchaseDate,ProductCategory,Rating,PurachaseAmount
0,CUST1000,Ali Hassan,72,ali.hassan@gmail.com,123456789.0,837.31,2023-10-12,Books,3.0,837.31
1,CUST1001,Fatma Ali,55,fatma.ali@hotmail.com,000-000-0000,900.25,2023-02-23,unknown,3.0,900.25
2,CUST1002,Ahmed Mahmoud,55,ahmed.mahmoud@hotmail.com,000-000-0000,761.72,2023-07-07,Toys,2.0,761.72
3,CUST1003,Ahmed Gaber,55,ahmed.gaber@gmail.com,000-000-0000,303.72,2023-12-30,unknown,2.0,303.72
4,CUST1004,Ali Ibrahim,73,ali.ibrahim@yahoo.com,987654321.0,635.81,2023-12-07,Clothing,2.0,635.81
5,CUST1005,Alaa Ibrahim,55,alaa.ibrahim@hotmail.com,987654321.0,886.26,2025-01-16,unknown,2.0,886.26
6,CUST1006,Mark Ali,55,mark.ali@hotmail.com,000-000-0000,92.53,2024-06-12,Books,2.0,92.53
7,CUST1007,Alaa Hassan,55,alaa.hassan@hotmail.com,987654321.0,318.43,2024-05-17,Toys,10.0,318.43
8,CUST1008,John Hassan,89,john.hassan@yahoo.com,000-000-0000,883.52,2024-05-17,Home,4.0,883.52
9,CUST1009,Fatma Gaber,55,fatma.gaber@hotmail.com,000-000-0000,966.47,2025-01-24,Electronics,2.0,966.47
10,CUST1010,Ahmed Smith,55,ahmed.smith@gmail.com,987654321.0,882.19,2025-06-24,unknown,3.0,882.19
11,CUST1011,Sara Smith,55,sara.smith@yahoo.com,000-000-0000,405.79,2024-08-05,unknown,10.0,405.79
12,CUST1012,Lina Ibrahim,55,lina.ibrahim@hotmail.com,000-000-0000,142.6,2023-05-23,Home,2.0,142.6
13,CUST1013,Lina Gaber,55,lina.gaber@gmail.com,000-000-0000,509.8973789316026,2024-02-04,Electronics,2.0,519.42
14,CUST1014,Alaa Ali,55,alaa.ali@gmail.com,000-000-0000,891.8,2023-05-21,Clothing,3.0,891.8
15,CUST1015,Ali Ibrahim,18,ali.ibrahim@hotmail.com,123456789.0,337.49,2024-06-25,Home,1.0,337.49
16,CUST1016,Fatma Hassan,55,fatma.hassan@gmail.com,987654321.0,272.08,2024-01-09,Toys,2.0,272.08
17,CUST1017,John Mahmoud,55,john.mahmoud@gmail.com,000-000-0000,833.56,2025-02-19,unknown,3.0,833.56
18,CUST1018,Alaa Ali,15,alaa.ali@hotmail.com,123456789.0,923.5,2024-01-04,Toys,1.0,923.5
19,CUST1019,Ahmed Ibrahim,55,ahmed.ibrahim@yahoo.com,123456789.0,497.45,2024-01-04,unknown,1.0,497.45
20,CUST1020,Lina Gaber,55,lina.gaber@hotmail.com,000-000-0000,667.69,2023-04-27,Clothing,3.0,667.69
21,CUST1021,Fatma Ibrahim,55,fatma.ibrahim@yahoo.com,123456789.0,118.22,2024-12-30,Clothing,1.0,118.22
22,CUST1022,Ahmed Mahmoud,55,ahmed.mahmoud@gmail.com,000-000-0000,22.02,2025-02-22,Electronics,1.0,22.02
23,CUST1023,Lina Ibrahim,44,lina.ibrahim@yahoo.com,123456789.0,389.24,2025-02-22,Clothing,10.0,389.24
24,CUST1024,John Hassan,55,john.hassan@hotmail.com,000-000-0000,125.65,2023-02-27,unknown,10.0,125.65
